Region,Pris_familj_grundvacc,Subvention_nivå,Barn_gratis_ålder,Startår_subvention,Källa
Blekinge,3000,Ingen,Nej,,Läkemedelsvärlden
Dalarna,4662,Ingen,Nej,,Läkemedelsvärlden
Gotland,3869,Ingen,Nej,,Läkemedelsvärlden
Gävleborg,4662,Ingen,Nej,,Läkemedelsvärlden
Halland,6000,Ingen,Nej,,Läkemedelsvärlden
Jämtland Härjedalen,6480,Ingen,Nej,,Läkemedelsvärlden
Jönköping,2520,Barn,3-18,2024,Läkemedelsvärlden
Kalmar,4788,Ingen,Nej,,Läkemedelsvärlden
Kronoberg,2910,Barn,3-18,2025,Läkemedelsvärlden
Norrbotten,5262,Ingen,Nej,,Läkemedelsvärlden
Skåne,4320,Ingen,Nej,,Läkemedelsvärlden
Stockholm,4980,Barn,3+,2025,Läkemedelsvärlden
Sörmland,2430,Barn,3-19,2018,Läkemedelsvärlden
Uppsala,2058,Barn,1-18,2022,Läkemedelsvärlden
Värmland,5280,Ingen,Nej,,Läkemedelsvärlden
Västernorrland,6120,Ingen,Nej,,Läkemedelsvärlden
Västmanland,2100,Barn,3-19,2023,Läkemedelsvärlden
Västra Götaland,3900,Ingen,Nej,,Läkemedelsvärlden
Örebro,1620,Barn,3-18,2025,Läkemedelsvärlden
Östergötland,2400,Barn,3-19,2022,Läkemedelsvärlden
Västerbotten,,Ingen,Nej,,Ej inkluderad i Läkemedelsvärlden enkät maj 2025. Ingen subvention bekräftad via Region Västerbottens vaccinationssida.
